station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 11:35:10.798,0.317,S,0.01
C,2017-03-03 11:37:07.058,0.518,S,0.01
C,2017-03-03 11:37:53.818,0.629,S,0.01
C,2017-03-03 11:38:27.998,0.38,S,0.01
C,2017-03-03 11:39:15.848,0.333,S,0.01
C,2017-03-03 11:44:42.238,0.335,S,0.01
C,2017-03-03 11:50:35.538,0.392,S,0.01
C,2017-03-03 11:50:57.258,0.475,S,0.01
C,2017-03-03 11:52:53.238,0.344,S,0.01
C,2017-03-03 11:53:35.778,0.374,S,0.01
C,2017-03-03 11:54:10.458,0.365,S,0.01
C,2017-03-03 11:54:27.738,0.484,S,0.01
C,2017-03-03 11:57:10.878,0.373,S,0.01
C,2017-03-03 11:57:25.688,0.474,S,0.01
C,2017-03-03 11:59:45.118,0.374,S,0.01
C,2017-03-03 12:00:14.238,0.41,S,0.01
C,2017-03-03 12:00:37.928,0.513,S,0.01
C,2017-03-03 12:03:44.618,0.775,S,0.01
C,2017-03-03 12:04:47.668,0.336,S,0.01
C,2017-03-03 12:05:59.418,0.328,S,0.01
C,2017-03-03 12:06:51.838,0.414,S,0.01
C,2017-03-03 12:07:44.668,0.36,S,0.01
C,2017-03-03 12:10:04.218,0.567,S,0.01
C,2017-03-03 12:10:17.998,0.322,S,0.01
C,2017-03-03 12:10:28.078,0.356,S,0.01
C,2017-03-03 12:17:35.458,0.399,S,0.01
C,2017-03-03 12:17:59.208,0.556,S,0.01
C,2017-03-03 12:19:15.808,0.425,S,0.01
C,2017-03-03 12:20:57.038,0.347,S,0.01
C,2017-03-03 12:23:21.128,0.449,S,0.01
C,2017-03-03 12:25:49.518,0.544,S,0.01
C,2017-03-03 12:26:47.818,0.57,S,0.01
C,2017-03-03 12:29:35.048,0.642,S,0.01
C,2017-03-03 12:39:16.048,0.728,S,0.01
C,2017-03-03 12:39:49.948,0.574,S,0.01
C,2017-03-03 12:40:03.888,0.469,S,0.01
C,2017-03-03 12:41:49.218,0.374,S,0.01
C,2017-03-03 12:42:37.698,0.367,S,0.01
C,2017-03-03 12:43:44.538,0.54,S,0.01
C,2017-03-03 12:43:54.848,0.31,S,0.01
C,2017-03-03 12:45:58.938,0.34,S,0.01
C,2017-03-03 12:46:37.988,0.738,S,0.01
C,2017-03-03 12:47:59.518,0.315,S,0.01
C,2017-03-03 12:48:29.208,0.356,S,0.01
C,2017-03-03 12:53:30.678,0.308,S,0.01
C,2017-03-03 12:55:30.818,0.539,S,0.01
C,2017-03-03 12:55:35.678,0.441,S,0.01
C,2017-03-03 12:56:52.008,0.719,S,0.01
C,2017-03-03 12:57:01.198,0.382,S,0.01
C,2017-03-03 13:00:32.598,0.439,S,0.01
C,2017-03-03 13:02:32.938,0.371,S,0.01
C,2017-03-03 13:03:59.598,0.403,S,0.01
C,2017-03-03 13:09:16.058,0.316,S,0.01
C,2017-03-03 13:09:54.408,0.58,S,0.01
C,2017-03-03 13:10:27.678,0.326,S,0.01
C,2017-03-03 13:11:39.658,0.438,S,0.01
C,2017-03-03 13:14:18.718,0.32,S,0.01
C,2017-03-03 13:14:28.298,0.483,S,0.01
C,2017-03-03 13:18:37.268,0.593,S,0.01
C,2017-03-03 13:19:06.368,0.508,S,0.01
C,2017-03-03 13:22:33.258,0.603,S,0.01
C,2017-03-03 13:25:40.458,0.645,S,0.01
C,2017-03-03 13:26:02.598,0.535,S,0.01
