index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
LB.BMN..BH,LB,BMN,,BH,ENZ,"[571513000.0, 3355440000.0, 507218000.0, 3355440000.0, 556408000.0, 3355440000.0]",40.4314,-117.220993,1594.0,-1.594,193.504,327.921,-1.594,NC
LB.BMN.01.HH,LB,BMN,01,HH,ENZ,"[2007680000.0, 2007680000.0, 2007680000.0]",40.4314,-117.221001,1594.0,-1.594,193.504,327.921,-1.594,NC
LB.BMN.02.HH,LB,BMN,02,HH,ENZ,"[3394120000.0, 3394120000.0, 3394120000.0]",40.4314,-117.221001,1594.0,-1.594,193.504,327.921,-1.594,NC
LB.DAC..BH,LB,DAC,,BH,ENZ,"[3355440000.0, 3355440000.0, 3355440000.0]",36.277,-117.593697,1813.0,-1.813,171.294,-134.017,-1.813,NC
LB.DAC..HH,LB,DAC,,HH,ENZ,"[439548000.0, 439548000.0, 439548000.0]",36.277,-117.593697,1813.0,-1.813,171.294,-134.017,-1.813,NC
LB.TPH..BH,LB,TPH,,BH,ENZ,"[838602000.0, 838602000.0, 838602000.0]",38.075,-117.2225,1883.0,-1.883,199.836,66.255,-1.883,NC
LB.TPH.01.HH,LB,TPH,01,HH,ENZ,"[2007680000.0, 501919000.0, 2007680000.0, 501919000.0, 2007680000.0, 501919000.0]",38.075,-117.2225,1883.0,-1.883,199.836,66.255,-1.883,NC
LB.TPH.02.HH,LB,TPH,02,HH,ENZ,"[3394120000.0, 848530000.0, 3394120000.0, 848530000.0, 3394120000.0, 848530000.0]",38.075,-117.2225,1883.0,-1.883,199.836,66.255,-1.883,NC
NC.AAR..EH,NC,AAR,,EH,Z,"[95960399.2340725, 95779998.5385425]",39.275936,-121.026962,911.0,-0.911,-131.79,198.242,-0.911,NC
NC.AAS..EH,NC,AAS,,EH,Z,"[199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0, 199319000.0]",38.430138,-121.109589,31.0,-0.031,-140.552,104.458,-0.031,NC
NC.ABJ..EH,NC,ABJ,,EH,Z,"[-191920009.676897, -191559209.768725, 191559209.768725]",39.165771,-121.192993,434.0,-0.434,-146.344,186.259,-0.434,NC
NC.ABR..EH,NC,ABR,,EH,Z,"[95960399.2340725, 95779998.5385425]",39.138126,-121.488167,-1.0,0.001,-171.925,183.698,0.001,NC
NC.ADW..EH,NC,ADW,,EH,Z,"[383840019.353795, 383118419.53745]",38.438957,-120.84938,228.0,-0.228,-117.817,105.076,-0.228,NC
NC.AFD..EH,NC,AFD,,EH,Z,"[383840019.353795, 767680038.707589, 383840019.353795, 767680038.707589, 766236839.0749]",38.945961,-120.968971,505.0,-0.505,-127.368,161.522,-0.505,NC
NC.AFD..HH,NC,AFD,,HH,ENZ,"[999396832.5, 999396832.5, 666316975.5, 666316975.5, 666316975.5, 985241070.0, 985241070.0, 656879058.0, 656879058.0, 656879058.0, 994678245.0, 663171003.0, 663171003.0]",38.945961,-120.968971,505.0,-0.505,-127.368,161.522,-0.505,NC
